Daily_Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Productivity_Hours,Number_of_App_Opens,Notifications_Received,Night_Usage_Times,Age,Number_of_Apps_Installed,Weekly_Avg_Usage_Hours,Addiction_Level
5.5,0.3,3.6,1.9,93,51,4,54,94,59.9,Low
5.5,7.7,0.5,1.9,148,51,3,28,8,9.9,Medium
11.2,6.4,2.1,3.4,151,285,13,60,18,61.0,High
7.1,2.3,0.1,0.9,155,26,7,45,95,9.9,Medium
3.8,7.8,2.4,1.5,29,292,8,24,37,96.0,Medium
7.1,4.8,3.3,3.2,20,267,18,25,26,71.9,Medium
2.5,4.7,0.6,3.3,186,72,2,22,52,79.0,Low
3.1,6.0,1.4,1.5,77,71,4,39,7,70.7,Low
7.7,6.5,2.0,1.8,133,109,17,53,91,59.4,Medium
6.6,5.3,4.6,1.2,46,28,0,43,89,45.5,Low
13.8,1.0,5.0,3.7,151,26,7,46,27,86.0,Medium
5.8,2.7,0.2,0.5,166,255,18,42,72,95.7,Medium
8.9,7.4,3.8,3.7,84,260,16,28,25,50.4,High
9.7,1.8,1.9,2.7,108,90,16,58,47,93.2,Medium
0.7,3.0,2.0,2.1,187,48,10,20,99,58.7,Medium
10.1,3.5,3.8,0.1,150,45,1,21,89,54.3,Medium
3.1,3.5,4.6,1.9,38,206,5,19,30,46.0,Medium
14.4,4.9,4.8,1.6,93,167,13,32,45,21.7,High
2.7,7.5,2.9,0.6,129,213,2,24,42,1.4,Medium
6.5,1.9,1.8,2.6,49,205,11,61,92,24.9,Low
1.7,1.0,3.9,3.9,138,225,3,16,15,51.5,Low
15.0,1.6,1.3,2.2,25,294,11,17,33,38.6,High
7.8,7.1,2.8,2.9,126,205,12,41,64,45.4,Medium
9.1,5.2,1.8,0.3,74,161,1,42,71,98.1,Medium
1.5,2.3,3.3,1.7,100,23,1,28,69,35.7,Low
11.4,6.5,1.2,0.5,109,155,14,22,65,45.8,High
3.5,6.9,1.0,2.5,52,66,16,31,23,14.2,Medium
13.5,6.8,4.6,3.8,43,220,6,59,50,5.7,Medium
3.5,7.4,0.5,2.6,35,277,13,20,53,77.8,Medium
3.3,2.0,2.5,0.3,14,219,11,13,26,57.5,Medium
1.0,6.0,1.1,1.4,34,26,16,48,82,76.3,Low
7.3,3.7,0.2,2.2,22,295,13,12,61,15.8,Medium
8.7,6.7,0.2,1.6,192,212,5,15,18,57.6,Medium
1.5,5.8,0.9,3.3,92,108,18,47,48,26.1,Medium
11.7,6.2,4.3,3.3,129,288,5,36,20,23.6,High
7.1,5.2,1.4,2.4,77,218,17,14,81,2.1,Medium
8.1,1.4,4.8,1.5,19,138,4,20,16,13.9,Medium
6.9,4.4,2.9,1.0,8,297,5,33,59,31.6,Medium
6.3,7.9,2.2,0.4,195,261,1,34,55,12.6,Medium
8.6,7.5,2.9,1.4,172,274,7,23,43,98.6,High
2.8,0.3,2.6,1.7,13,280,14,21,37,31.6,Medium
3.1,1.3,3.8,2.7,113,197,14,45,37,13.9,Medium
13.0,1.1,1.4,2.6,141,223,10,54,33,20.7,Medium
14.2,5.8,1.8,0.3,158,292,0,21,73,59.2,High
5.9,6.5,4.5,1.6,136,220,17,41,74,7.3,High
4.4,1.7,4.7,0.7,20,85,11,33,35,86.4,Medium
9.8,4.0,4.5,0.6,147,157,11,17,84,96.2,High
6.4,6.7,2.1,3.3,103,222,10,61,35,25.4,Medium
0.9,5.9,3.9,0.2,125,118,7,13,93,45.6,Medium
2.8,4.3,2.4,1.7,56,138,6,41,50,3.2,Low
10.9,4.7,2.5,0.7,73,19,1,13,81,64.4,Medium
10.1,4.1,1.0,3.5,9,56,10,43,56,42.0,Medium
0.9,2.4,3.0,2.2,24,105,9,53,14,27.7,Low
3.7,4.5,0.9,0.9,83,112,2,27,92,21.5,Low
3.9,5.5,1.7,2.0,150,155,19,23,78,65.7,Medium
10.2,7.0,4.3,2.9,115,36,9,12,45,42.2,Medium
0.8,5.1,1.0,3.8,6,229,17,64,99,18.8,Low
2.0,6.1,0.4,0.9,97,27,13,19,81,69.2,Medium
12.1,1.3,0.3,3.5,17,176,17,59,7,56.9,Medium
3.1,3.7,4.7,3.7,8,91,7,61,63,86.0,Low
10.0,0.1,2.5,3.7,174,81,9,24,56,12.6,Medium
4.0,2.0,2.0,2.5,113,263,12,26,38,78.8,Medium
1.9,5.8,4.1,2.5,78,171,7,64,53,67.7,Low
4.0,7.9,4.2,1.6,193,47,3,55,32,12.4,Medium
11.0,0.8,1.7,3.0,99,210,3,19,87,69.8,Medium
12.9,3.2,3.5,2.1,109,209,4,21,91,44.7,Medium
12.5,6.4,3.9,2.7,12,264,0,57,17,94.6,Medium
6.3,1.6,3.3,1.7,71,188,16,16,73,15.0,Medium
10.2,4.4,0.8,2.9,195,44,1,61,71,64.6,Medium
3.5,5.9,4.4,3.3,114,91,7,30,65,38.8,Medium
4.8,4.9,2.7,0.6,13,229,6,58,64,95.7,Low
13.5,1.5,1.4,3.3,121,167,14,49,75,33.7,Medium
0.7,2.8,2.1,2.2,15,13,4,22,28,96.3,Low
1.7,6.3,0.2,3.4,103,176,1,64,67,90.2,Low
3.5,4.4,0.6,1.7,46,213,6,54,90,27.8,Low
0.9,0.0,3.8,1.5,145,203,7,31,65,80.6,Low
3.1,6.1,0.0,3.7,168,244,6,31,27,99.6,Medium
9.0,0.3,2.1,1.0,124,215,6,32,34,26.0,Medium
6.6,6.0,2.6,3.4,145,159,13,29,64,44.2,Medium
13.4,1.6,0.3,1.9,16,168,17,61,22,52.5,Medium
12.4,7.7,4.9,2.1,41,288,5,21,60,30.2,High
5.5,2.9,1.1,1.2,78,175,3,45,57,2.5,Low
4.3,2.6,1.5,2.3,77,77,9,37,11,22.8,Low
6.0,1.2,1.5,1.3,56,97,17,41,73,28.9,Medium
9.1,2.4,1.2,0.2,134,226,11,20,96,44.9,Medium
4.4,7.0,0.0,1.1,60,10,15,57,76,17.9,Medium
9.6,8.0,3.6,0.0,64,144,6,62,83,87.5,Medium
6.4,2.9,4.8,3.9,27,194,5,42,56,70.8,Low
8.5,3.6,1.1,3.9,107,149,4,53,8,9.4,Low
6.8,5.8,3.3,1.6,44,115,2,15,38,65.4,Medium
4.8,7.1,3.7,2.9,68,142,11,17,73,65.7,Medium
14.3,4.7,4.2,1.4,89,117,14,25,37,95.7,High
11.6,3.1,2.1,2.7,155,187,9,15,73,1.3,High
2.5,3.3,1.5,3.2,161,155,19,37,42,25.5,Medium
13.1,5.6,1.6,3.8,183,83,18,58,30,92.9,High
7.6,0.0,3.6,1.6,93,117,15,59,5,93.3,Medium
13.5,5.0,4.1,3.1,35,131,10,50,8,72.3,Medium
12.1,2.8,0.9,1.1,182,26,7,28,43,76.8,Medium
6.7,6.4,1.9,4.0,24,205,2,30,58,10.1,Low
0.8,0.7,4.5,0.1,187,261,6,62,94,51.9,Low
4.4,4.7,4.0,2.4,134,128,6,60,37,23.9,Medium
8.4,3.8,4.9,2.6,157,171,13,17,37,18.9,High
9.7,5.1,3.8,2.8,17,207,1,40,76,81.2,Medium
4.2,0.5,2.0,0.5,126,54,9,22,24,14.4,Medium
2.5,4.6,3.0,3.8,107,188,18,27,20,47.4,Medium
12.6,4.5,3.3,0.7,110,53,8,41,25,93.9,Medium
14.8,4.5,0.4,2.5,123,280,15,36,49,19.4,High
8.1,4.8,2.7,0.9,74,87,18,51,94,97.8,Medium
3.0,5.4,3.5,1.2,199,187,17,22,91,99.4,High
4.4,6.4,0.8,2.2,190,12,8,18,86,56.0,Medium
0.8,2.2,3.9,1.7,103,223,15,37,66,17.8,Medium
13.8,6.6,2.9,0.6,86,83,12,33,35,32.3,High
2.2,4.0,4.8,0.7,79,60,9,36,46,43.0,Medium
8.9,0.6,0.2,1.7,122,76,19,30,16,31.6,Medium
4.5,0.5,1.3,3.0,88,102,13,42,69,28.8,Low
8.5,2.7,3.0,3.6,196,185,11,37,77,97.3,Medium
9.9,6.3,1.5,0.3,73,154,18,53,7,16.2,High
12.5,5.7,3.6,1.6,63,16,6,52,94,73.6,Medium
3.5,6.3,3.8,0.4,192,278,14,47,13,1.0,High
0.7,4.1,0.5,0.1,130,13,15,34,55,60.0,Medium
2.5,3.5,2.6,2.6,115,147,7,58,20,91.7,Low
13.6,1.2,2.5,2.4,66,240,9,24,92,29.5,Medium
13.2,2.6,1.8,0.7,148,97,3,36,82,19.4,Medium
9.2,3.5,4.7,0.9,132,26,18,13,7,65.5,High
9.2,0.7,4.1,0.1,109,61,18,13,28,71.5,High
10.1,1.8,3.5,3.3,72,143,14,27,77,69.1,Medium
3.0,4.8,3.6,3.9,19,220,13,20,17,32.6,Medium
13.8,5.9,2.3,0.5,187,228,0,39,6,26.0,High
6.6,8.0,4.6,0.9,39,214,15,24,75,95.6,High
6.1,7.5,3.5,3.5,187,220,9,46,25,92.4,Medium
8.0,5.1,3.6,3.7,18,286,18,52,23,46.3,Medium
1.2,3.4,4.3,1.7,181,33,2,24,93,84.8,Low
2.9,5.1,1.4,0.2,106,13,4,42,51,45.8,Low
11.2,6.3,4.0,0.2,104,161,8,32,26,43.0,High
1.7,0.9,1.0,2.3,11,268,17,43,79,16.5,Low
9.2,3.3,1.7,1.6,34,177,10,45,37,43.2,Medium
4.1,6.7,1.7,0.1,53,185,15,19,36,54.2,Medium
6.1,3.1,4.9,2.3,148,65,1,52,68,3.2,Low
4.7,4.6,4.3,0.0,115,117,11,59,89,45.0,Medium
5.7,4.7,3.5,3.1,183,150,5,13,43,78.4,Medium
10.9,1.5,3.6,1.2,76,164,10,49,88,68.3,Medium
4.8,2.9,2.8,0.2,84,271,7,43,76,63.9,Medium
8.7,2.7,4.7,2.4,87,282,11,51,46,91.0,Medium
7.4,0.2,2.5,1.6,46,241,1,39,13,2.8,Low
10.1,0.2,1.9,3.9,21,250,8,48,29,56.1,Low
14.1,6.7,0.8,2.2,195,267,14,52,93,78.9,High
11.1,2.2,3.9,1.1,177,258,1,12,6,54.6,High
3.6,4.1,3.7,2.8,11,86,0,52,23,33.1,Low
1.0,2.4,1.9,1.1,159,189,9,21,24,14.5,Medium
4.3,7.5,0.1,3.6,14,75,1,15,97,88.9,Low
9.1,2.1,4.2,1.5,38,180,11,46,74,47.6,Medium
1.2,3.4,0.1,2.2,40,31,7,21,21,87.9,Low
7.7,7.0,3.5,0.2,157,116,4,58,93,59.0,Medium
9.2,6.7,4.9,1.7,10,236,0,22,72,67.7,Medium
5.3,1.5,2.2,3.3,156,225,14,25,98,80.6,Medium
11.7,6.4,1.2,3.2,150,78,5,49,88,66.3,Medium
2.0,3.7,3.5,0.9,138,93,11,23,7,40.4,Medium
1.6,3.9,4.1,0.9,33,112,7,56,91,51.8,Low
11.1,1.1,2.7,3.3,130,48,12,28,55,80.5,Medium
7.7,0.6,4.8,3.7,157,22,18,27,86,38.0,Medium
10.5,5.8,0.3,0.4,187,190,0,46,30,39.4,Medium
6.8,4.0,2.5,1.8,85,277,10,13,60,10.5,Medium
4.1,3.5,3.6,1.3,178,22,19,22,68,91.5,Medium
12.4,5.8,4.3,3.5,156,129,0,52,12,10.0,Medium
12.1,6.1,0.9,0.3,79,66,7,14,85,65.2,Medium
10.6,1.3,4.0,0.8,30,49,4,40,99,41.9,Medium
4.4,4.9,2.8,3.0,131,137,16,29,41,41.2,Medium
9.1,1.1,2.0,0.2,119,182,7,31,31,68.3,Medium
5.7,6.0,0.7,2.0,130,44,9,58,49,7.6,Medium
1.8,5.3,4.3,1.8,32,268,1,25,8,59.8,Low
13.8,7.7,0.8,1.3,135,14,8,45,90,77.4,Medium
2.5,0.6,1.5,1.6,79,227,2,60,94,83.0,Low
14.3,0.5,1.5,2.1,170,20,17,42,92,17.9,High
7.0,2.3,4.4,0.6,193,126,6,51,41,89.8,Medium
